experiment,method,rows,avg_compressed_tokens,avg_prompt_tokens,avg_api_prompt_tokens,avg_api_completion_tokens,avg_api_total_tokens,avg_token_saving_ratio,avg_answer_time,contains_answer_rate,avg_f1,f1_per_1k_tokens,contains_answer_per_1k_tokens,tokens_per_correct_answer
exp1_nq_100,original,100,1510.09,1551.16,1561.7,210.27,1771.97,0.0,3.0667643880844118,0.63,0.4812866153815818,0.2716110404699751,0.35553649328148895,2812.6507936507937
exp1_nq_100,truncate,100,750.0,791.03,807.36,164.6,971.96,0.5017737525172454,2.7305940079689024,0.62,0.5023205893802979,0.5168119977985698,0.6378863327708959,1567.6774193548388
exp1_nq_100,bm25,100,756.43,796.99,813.48,193.05,1006.53,0.49749333408091057,2.8660815572738647,0.62,0.5305799968740558,0.5271377871241352,0.6159776658420515,1623.4354838709678
exp1_nq_100,llmlingua,100,720.3,761.46,774.17,276.92,1051.09,0.5217590643946476,3.93845760345459,0.6,0.4940295624101046,0.47001642334158317,0.5708359893063392,1751.8166666666666
exp1_nq_100,longllmlingua,100,720.3,761.46,774.17,273.05,1047.22,0.5217590643946476,3.886933054924011,0.63,0.5081899214672335,0.48527522532727935,0.6015927885258112,1662.2539682539682
exp2_position,original,100,3019.84,3059.85,3048.05,224.74,3272.79,0.0,2.9725566005706785,0.75,0.46984583514866657,0.1435612535936209,0.22916227438974085,4363.72
exp2_position,truncate,100,1500.0,1540.2,1544.83,196.19,1741.02,0.5027704524166461,2.6513383388519287,0.59,0.39396551422996656,0.2262843127763992,0.33888180491895553,2950.8813559322034
exp2_position,bm25,100,1513.61,1553.14,1559.09,211.97,1771.06,0.498265890245713,2.8473197293281554,0.65,0.44049072822602237,0.24871586971984144,0.36701184601312214,2724.707692307692
exp2_position,llmlingua,100,1427.01,1467.25,1464.8,261.79,1726.59,0.5270273522243792,3.396054768562317,0.74,0.4985056332107366,0.28872264591520663,0.4285904586497084,2333.2297297297296
exp2_position,longllmlingua,100,1427.01,1467.25,1464.8,221.63,1686.43,0.5270273522243792,2.801286425590515,0.76,0.5024730395544373,0.2979507240469141,0.45065611973221537,2218.9868421052633
exp3_longbench,original,150,9129.26,9175.573333333334,9084.173333333334,214.10666666666665,9298.28,0.0,2.7521039485931396,0.5466666666666666,0.6541565774672868,0.07035242834882224,0.058792235409846405,17009.048780487807
exp3_longbench,truncate,150,1985.2266666666667,2031.9133333333334,2021.2266666666667,203.48,2224.7066666666665,0.6951420187025256,2.694187574386597,0.2733333333333333,0.3222560690993857,0.14485328512195722,0.1228626395689619,8139.170731707317
exp3_longbench,bm25,150,1993.78,2039.8466666666666,2034.38,272.8,2307.18,0.6936470620915568,3.129269431432088,0.4666666666666667,0.5974737753243096,0.2589627923804426,0.2022671255240886,4943.957142857143
exp3_longbench,llmlingua,150,1944.82,1991.6866666666667,1978.6533333333334,524.82,2503.4733333333334,0.6991391774239438,5.474924249649048,0.4066666666666667,0.47407849232461075,0.1893683012366595,0.16244098199568066,6156.081967213115
exp3_longbench,longllmlingua,150,1944.82,1991.6866666666667,1978.6533333333334,649.6666666666666,2628.32,0.6991391774239438,6.5670769850413,0.42,0.5027742365232947,0.19129110478301525,0.1597978937115724,6257.904761904762
