answer_position,method,rows,unique_samples,avg_original_tokens,avg_compressed_tokens,avg_prompt_tokens,avg_token_saving_ratio,avg_compression_time,avg_answer_time,contains_answer_rate,avg_f1,empty_prediction_count,fallback_used_count,retry_used_count,error_count
1,bm25,20,20,3019.7,1513.5,1553.1,0.4982790256389137,0.010969066619873,2.5423949718475343,0.7,0.3960298035298035,0,0,0,0
1,llmlingua,20,20,3019.7,1428.15,1468.4,0.5266191013784315,1.962095284461975,3.2903807759284973,0.7,0.5105561105561105,0,0,1,0
1,longllmlingua,20,20,3019.7,1428.15,1468.4,0.5266191013784315,1.0903304457664489,2.4665539026260377,0.75,0.5038766788766789,0,0,0,0
1,original,20,20,3019.7,3019.7,3059.85,0.0,0.0,3.4552557945251463,0.8,0.4237230198994904,0,0,1,0
1,truncate,20,20,3019.7,1500.0,1540.15,0.5027473655268011,0.0019374728202819,2.623198318481445,0.9,0.4998120629370629,0,0,1,0
5,bm25,20,20,3019.7,1513.55,1553.15,0.4982626750829948,0.0104413866996764,2.560871958732605,0.7,0.4494991119991119,0,0,0,0
5,llmlingua,20,20,3019.7,1426.2,1466.45,0.5272623687766584,1.094342088699341,4.38782229423523,0.75,0.5343059146735618,0,0,2,0
5,longllmlingua,20,20,3019.7,1426.2,1466.45,0.5272623687766584,1.102537703514099,2.7076459646224977,0.75,0.4997770620184413,0,0,1,0
5,original,20,20,3019.7,3019.7,3059.85,0.0,0.0,2.7072944164276125,0.8,0.5208591892974885,0,0,0,0
5,truncate,20,20,3019.7,1500.0,1540.15,0.5027473655268011,0.001854121685028,2.6016081094741823,0.9,0.5574540419013035,0,0,0,0
10,bm25,20,20,3019.7,1513.55,1553.15,0.4982626750829948,0.0119635581970214,2.8979126095771788,0.7,0.4736738098502804,0,0,1,0
10,llmlingua,20,20,3019.7,1427.8,1468.05,0.5267538342811834,1.1865712523460388,2.7595858812332152,0.7,0.4444163978768992,0,0,1,0
10,longllmlingua,20,20,3019.7,1427.8,1468.05,0.5267538342811834,1.1628012180328369,2.914005625247955,0.75,0.4614855406031877,0,0,1,0
10,original,20,20,3019.7,3019.7,3059.85,0.0,5.0580501556395e-05,3.0891642332077027,0.75,0.4948479853479853,0,0,0,0
10,truncate,20,20,3019.7,1500.0,1540.2,0.5027473655268011,0.0028464198112487,2.8230997562408446,0.7,0.4869559607059607,0,0,0,0
15,bm25,20,20,3019.7,1513.55,1553.15,0.4982626750829948,0.0112749934196471,2.947798264026642,0.5,0.4720238095238095,0,0,1,0
15,llmlingua,20,20,3019.7,1427.25,1467.5,0.5269242598636306,1.1931924939155578,3.155524861812592,0.7,0.4893782051282051,0,0,1,0
15,longllmlingua,20,20,3019.7,1427.25,1467.5,0.5269242598636306,1.214208173751831,2.8078281044960023,0.75,0.5016366590398849,0,0,0,0
15,original,20,20,3019.7,3019.7,3059.85,0.0,0.0,3.0832412481307983,0.65,0.465136903509975,0,0,1,0
15,truncate,20,20,3019.7,1500.0,1540.25,0.5027473655268011,0.0029671788215636,2.704678976535797,0.25,0.2361086136086136,0,0,0,0
20,bm25,20,20,3020.4,1513.9,1553.15,0.4982624003406665,0.0156300902366637,3.2876208424568176,0.65,0.4112271062271062,0,0,1,0
20,llmlingua,20,20,3020.4,1425.65,1465.85,0.5275771968219923,2.2758299469947816,3.386960029602051,0.85,0.5138715378189063,0,0,0,0
20,longllmlingua,20,20,3020.4,1425.65,1465.85,0.5275771968219923,2.4020925879478456,3.110398530960083,0.8,0.5455892572339941,0,0,0,0
20,original,20,20,3020.4,3020.4,3059.85,0.0,4.9221515655515e-05,2.5278273105621336,0.75,0.4446620776883934,0,0,0,0
20,truncate,20,20,3020.4,1500.0,1540.25,0.5028627999760258,0.0031612992286681,2.5041065335273744,0.2,0.189496891996892,0,0,1,0
