answer_position,method,sample_count,valid_predictions,empty_predictions,contains_answer_avg,f1_avg,nq_style_f1_avg,compressed_tokens_avg,token_saving_ratio_avg,answer_time_avg,error_count
1,ours_bm25_only,20,20,0,0.65,0.4558302808302808,0.4558302808302808,1500.0,0.5027473655268011,2.130146014690399,0
1,ours_keyword,20,20,0,0.7,0.4731861847303024,0.4731861847303024,1500.0,0.5027473655268011,1.967860472202301,0
1,ours_full,20,20,0,0.65,0.43777115428431224,0.43777115428431224,1500.0,0.5027473655268011,2.1052415132522584,0
5,ours_bm25_only,20,20,0,0.7,0.5143749525328473,0.5143749525328473,1500.0,0.5027473655268011,2.310659074783325,0
5,ours_keyword,20,20,0,0.7,0.4491865977160095,0.4491865977160095,1500.0,0.5027473655268011,2.321372354030609,0
5,ours_full,20,20,0,0.6,0.4070523920523921,0.4070523920523921,1500.0,0.5027473655268011,2.0897774934768676,0
10,ours_bm25_only,20,20,0,0.65,0.42266150516150514,0.42266150516150514,1500.0,0.5027473655268011,2.5029303073883056,0
10,ours_keyword,20,20,0,0.7,0.49242340992340994,0.49242340992340994,1500.0,0.5027473655268011,2.666211462020874,0
10,ours_full,20,20,0,0.5,0.401492673992674,0.401492673992674,1500.0,0.5027473655268011,3.0265960693359375,0
15,ours_bm25_only,20,20,0,0.6,0.40664329091960666,0.40664329091960666,1500.0,0.5027473655268011,2.5709641337394715,0
15,ours_keyword,20,20,0,0.6,0.433479267550475,0.433479267550475,1500.0,0.5027473655268011,3.1973329305648805,0
15,ours_full,20,20,0,0.65,0.421942436218752,0.421942436218752,1500.0,0.5027473655268011,2.154105854034424,0
20,ours_bm25_only,20,20,0,0.35,0.3124301196905561,0.3124301196905561,1500.0,0.5028627999760258,2.9198852300643923,0
20,ours_keyword,20,20,0,0.6,0.45834792362809607,0.45834792362809607,1500.0,0.5028627999760258,3.2429468989372254,0
20,ours_full,20,20,0,0.6,0.40120340443869856,0.40120340443869856,1500.0,0.5028627999760258,1.9293250799179078,0
