answer_position,token_budget,sample_count,valid_predictions,empty_predictions,contains_answer_avg,f1_avg,nq_style_f1_avg,compressed_tokens_avg,token_saving_ratio_avg,answer_time_avg,error_count
1,500,20,20,0,0.4,0.35558608058608054,0.35558608058608054,500.0,0.8342491218422671,2.2288107872009277,0
1,750,20,20,0,0.5,0.44851407364565254,0.44851407364565266,750.0,0.7513736827634006,2.3680479764938354,0
1,1000,20,20,0,0.55,0.4591822882999354,0.4591822882999354,1000.0,0.6684982436845341,2.411277163028717,0
1,1500,20,20,0,0.65,0.41337495837495836,0.41337495837495836,1500.0,0.5027473655268011,2.231576919555664,0
1,2000,20,20,0,0.65,0.4535683760683761,0.4535683760683761,2000.0,0.3369964873690682,2.409467542171478,0
5,500,20,20,0,0.4,0.3549334875650665,0.35493348756506654,500.0,0.8342491218422671,2.148829996585846,0
5,750,20,20,0,0.4,0.36236263736263735,0.36236263736263735,750.0,0.7513736827634006,1.9032668590545654,0
5,1000,20,20,0,0.5,0.36169321017147105,0.36169321017147105,1000.0,0.6684982436845341,2.4124319553375244,0
5,1500,20,20,0,0.6,0.4624242424242424,0.4624242424242424,1500.0,0.5027473655268011,2.254655349254608,0
5,2000,20,20,0,0.7,0.4422255109871209,0.4422255109871209,2000.0,0.3369964873690682,2.1403955936431887,0
10,500,20,20,0,0.35,0.29895354645354644,0.2989535464535465,500.0,0.8342491218422671,2.2459957599639893,0
10,750,20,20,0,0.4,0.3864102564102564,0.3864102564102564,750.0,0.7513736827634006,2.394517016410828,0
10,1000,20,20,0,0.55,0.36831657506580107,0.36831657506580107,1000.0,0.6684982436845341,2.005349946022034,0
10,1500,20,20,0,0.65,0.4287177077308656,0.4287177077308656,1500.0,0.5027473655268011,2.415903627872467,0
10,2000,20,20,0,0.75,0.46763540381187435,0.46763540381187446,2000.0,0.3369964873690682,2.883368396759033,0
15,500,20,20,0,0.35,0.3736309523809524,0.3736309523809524,500.0,0.8342491218422671,2.1525601387023925,0
15,750,20,20,0,0.4,0.34003323259128215,0.34003323259128215,750.0,0.7513736827634006,2.8991345405578612,0
15,1000,20,20,0,0.55,0.45389194139194144,0.45389194139194144,1000.0,0.6684982436845341,1.8916862726211547,0
15,1500,20,20,0,0.55,0.43801587301587297,0.4380158730158731,1500.0,0.5027473655268011,2.0900346398353578,0
15,2000,20,20,0,0.65,0.448708309234625,0.44870830923462507,2000.0,0.3369964873690682,2.22775559425354,0
20,500,20,20,0,0.4,0.31128663003663004,0.31128663003663004,500.0,0.8342875999920085,2.16333988904953,0
20,750,20,20,0,0.4,0.3737896825396826,0.3737896825396826,750.0,0.7514313999880129,1.8629449129104614,0
20,1000,20,20,0,0.5,0.40446506106403135,0.40446506106403135,1000.0,0.6685751999840173,1.8459047555923462,0
20,1500,20,20,0,0.65,0.4426783304414883,0.4426783304414883,1500.0,0.5028627999760258,3.0807061791419983,0
20,2000,20,20,0,0.7,0.43738212664528453,0.43738212664528453,2000.0,0.3371503999680344,2.5117854952812193,0
