task_name,method,sample_count,valid_predictions,empty_predictions,contains_answer_rate,avg_f1,avg_compressed_tokens,avg_token_saving_ratio,avg_prompt_tokens,avg_compression_time,avg_answer_time,retry_used_count,error_count,api_total_tokens_avg
2wikimqa,bm25,50,50,0,0.68,0.65705291005291,1979.18,0.6375917489879622,2025.0,0.01561817646026607,3.5722601938247682,3,0,2350.28
2wikimqa,llmlingua,50,50,0,0.7,0.5993374741200828,1882.4,0.6550235075788648,1929.04,1.9544675207138063,5.345091528892517,10,0,2434.6
2wikimqa,longllmlingua,50,50,0,0.7,0.6267773109243697,1882.4,0.6550235075788648,1929.04,1.9692376136779786,7.438834185600281,13,0,2715.18
2wikimqa,original,50,50,0,0.76,0.7108333333333333,7024.16,0.0,7070.24,0.0,2.407810311317444,1,0,7215.46
2wikimqa,truncate,50,50,0,0.36,0.26976940064766153,1969.34,0.6395384649480487,2015.82,0.005638813972473094,3.2013491201400757,1,0,2273.96
hotpotqa,bm25,50,50,0,0.5,0.6093860877684407,2007.52,0.8185257936499585,2057.44,0.018331255912780717,3.645079855918884,5,0,2414.86
hotpotqa,llmlingua,50,50,0,0.3,0.3683612836438923,1955.2,0.823271101384956,2005.98,4.004766321182251,6.928894634246826,15,0,2727.62
hotpotqa,longllmlingua,50,50,0,0.36,0.45568525532988036,1955.2,0.823271101384956,2005.98,3.905265517234802,7.50296073436737,21,0,2776.9
hotpotqa,original,50,50,0,0.56,0.6736645021645021,13294.76,0.0,13345.22,1.9969940185546e-05,3.6405403852462768,3,0,13591.52
hotpotqa,truncate,50,50,0,0.18,0.1958055786612793,2000.0,0.8194281836103354,2050.58,0.007212839126586864,2.512894158363342,1,0,2259.9
multifieldqa_en,bm25,50,50,0,0.22,0.525982328151578,1994.64,0.6248236436367499,2037.1,0.016068611145019486,2.1704682445526124,2,0,2156.4
multifieldqa_en,llmlingua,50,50,0,0.22,0.454536719209857,1996.86,0.6191229233080106,2040.04,2.141936583518982,4.150786585807801,3,0,2348.2
multifieldqa_en,longllmlingua,50,50,0,0.2,0.42586014331563377,1996.86,0.6191229233080106,2040.04,2.112936911582947,4.75943603515625,7,0,2392.88
multifieldqa_en,original,50,50,0,0.32,0.5779718969040247,7068.86,0.0,7111.26,0.0,2.207961149215698,2,0,7087.86
multifieldqa_en,truncate,50,50,0,0.28,0.5011932279892163,1986.34,0.6264594075491927,2029.34,0.005073199272155714,2.3683194446563722,1,0,2140.26
2wikimqa,ours_full,50,50,0,0.64,0.6150634920634921,1969.46,0.639467719373223,2016.1,0.035139389038085896,5.049264888763428,9,0,2645.6
hotpotqa,ours_full,50,50,0,0.48,0.5534285714285714,2000.0,0.8194281836103354,2050.66,0.05173995971679683,4.2577186918258665,8,0,2555.74
multifieldqa_en,ours_full,50,50,0,0.28,0.5198489662247642,1986.88,0.6261240218980285,2029.8,0.021481232643127398,1.583555588722229,1,0,2160.72
