answer_position,method,sample_count,valid_predictions,empty_predictions,contains_answer_avg,f1_avg,compressed_tokens_avg,token_saving_ratio_avg,prompt_tokens_avg,api_total_tokens_avg,answer_time_avg,compression_time_avg,retry_used_count,error_count,nq_style_em_avg,nq_style_f1_avg
1,original,20,20,0,0.8,0.42372301989949046,3019.7,0.0,3059.85,3312.75,3.4552557945251463,0.0,1,0,0.2,0.4237230198994905
1,truncate,20,20,0,0.9,0.49981206293706293,1500.0,0.5027473655268011,1540.15,1729.8,2.623198318481445,0.0019374728202819248,1,0,0.2,0.49981206293706293
1,bm25,20,20,0,0.7,0.39602980352980355,1513.5,0.4982790256389137,1553.1,1751.85,2.5423949718475343,0.01096906661987301,0,0,0.2,0.39602980352980355
1,llmlingua,20,20,0,0.7,0.5105561105561105,1428.15,0.5266191013784315,1468.4,1726.8,3.2903807759284973,1.962095284461975,1,0,0.3,0.5105561105561105
1,longllmlingua,20,20,0,0.75,0.5038766788766789,1428.15,0.5266191013784315,1468.4,1655.15,2.4665539026260377,1.0903304457664489,0,0,0.3,0.5038766788766789
1,ours_full,20,20,0,0.6,0.43129731379731384,1500.0,0.5027473655268011,1540.15,1738.1,2.406683886051178,0.01117933988571162,1,0,0.15,0.43129731379731384
5,original,20,20,0,0.8,0.5208591892974885,3019.7,0.0,3059.85,3264.3,2.7072944164276125,0.0,0,0,0.3,0.5208591892974885
5,truncate,20,20,0,0.9,0.5574540419013035,1500.0,0.5027473655268011,1540.15,1746.0,2.6016081094741823,0.0018541216850280252,0,0,0.25,0.5574540419013035
5,bm25,20,20,0,0.7,0.44949911199911197,1513.55,0.4982626750829948,1553.15,1760.95,2.560871958732605,0.01044138669967647,0,0,0.2,0.44949911199911197
5,llmlingua,20,20,0,0.75,0.5343059146735618,1426.2,0.5272623687766584,1466.45,1826.55,4.38782229423523,1.094342088699341,2,0,0.3,0.5343059146735618
5,longllmlingua,20,20,0,0.75,0.4997770620184413,1426.2,0.5272623687766584,1466.45,1680.55,2.7076459646224977,1.102537703514099,1,0,0.25,0.4997770620184413
5,ours_full,20,20,0,0.65,0.49300366300366305,1500.0,0.5027473655268011,1540.15,1741.6,2.471463680267334,0.011174345016479445,1,0,0.2,0.49300366300366305
10,original,20,20,0,0.75,0.49484798534798535,3019.7,0.0,3059.85,3281.15,3.0891642332077027,5.0580501556395e-05,0,0,0.35,0.49484798534798535
10,truncate,20,20,0,0.7,0.4869559607059607,1500.0,0.5027473655268011,1540.2,1759.45,2.8230997562408446,0.0028464198112487403,0,0,0.2,0.4869559607059607
10,bm25,20,20,0,0.7,0.4736738098502804,1513.55,0.4982626750829948,1553.15,1777.4,2.8979126095771788,0.011963558197021436,1,0,0.25,0.4736738098502804
10,llmlingua,20,20,0,0.7,0.4444163978768992,1427.8,0.5267538342811834,1468.05,1666.15,2.7595858812332152,1.1865712523460388,1,0,0.2,0.44441639787689924
10,longllmlingua,20,20,0,0.75,0.4614855406031877,1427.8,0.5267538342811834,1468.05,1704.3,2.914005625247955,1.1628012180328369,1,0,0.2,0.4614855406031877
10,ours_full,20,20,0,0.65,0.41859626441669784,1500.0,0.5027473655268011,1540.15,1752.7,2.492497909069061,0.011370730400085394,2,0,0.2,0.41859626441669784
15,original,20,20,0,0.65,0.46513690350997505,3019.7,0.0,3059.85,3272.85,3.0832412481307983,0.0,1,0,0.25,0.46513690350997505
15,truncate,20,20,0,0.25,0.2361086136086136,1500.0,0.5027473655268011,1540.25,1731.4,2.704678976535797,0.00296717882156367,0,0,0.05,0.2361086136086136
15,bm25,20,20,0,0.5,0.4720238095238095,1513.55,0.4982626750829948,1553.15,1756.55,2.947798264026642,0.011274993419647165,1,0,0.3,0.4720238095238095
15,llmlingua,20,20,0,0.7,0.4893782051282051,1427.25,0.5269242598636306,1467.5,1691.85,3.1555248618125917,1.1931924939155578,1,0,0.3,0.4893782051282051
15,longllmlingua,20,20,0,0.75,0.5016366590398849,1427.25,0.5269242598636306,1467.5,1681.6,2.8078281044960023,1.214208173751831,0,0,0.25,0.5016366590398849
15,ours_full,20,20,0,0.65,0.4934615384615385,1500.0,0.5027473655268011,1540.15,1781.95,2.6735496878623963,0.011492443084716749,0,0,0.2,0.4934615384615385
20,original,20,20,0,0.75,0.44466207768839344,3020.4,0.0,3059.85,3232.9,2.5278273105621336,4.9221515655515e-05,0,0,0.15,0.44466207768839344
20,truncate,20,20,0,0.2,0.189496891996892,1500.0,0.5028627999760258,1540.25,1738.45,2.5041065335273744,0.00316129922866816,1,0,0.0,0.18949689199689201
20,bm25,20,20,0,0.65,0.4112271062271062,1513.9,0.4982624003406665,1553.15,1808.55,3.2876208424568176,0.015630090236663764,1,0,0.2,0.4112271062271063
20,llmlingua,20,20,0,0.85,0.5138715378189063,1425.65,0.5275771968219923,1465.85,1721.6,3.386960029602051,2.2758299469947816,0,0,0.3,0.5138715378189063
20,longllmlingua,20,20,0,0.8,0.5455892572339941,1425.65,0.5275771968219923,1465.85,1710.55,3.110398530960083,2.4020925879478456,0,0,0.25,0.5455892572339941
20,ours_full,20,20,0,0.55,0.3937387434584231,1500.0,0.5028627999760258,1540.15,1731.05,2.270259976387024,0.014216291904449415,0,0,0.15,0.3937387434584231
