answer_position,method,sample_count,unique_samples,valid_predictions,empty_predictions,contains_answer_avg,f1_avg,original_tokens_avg,compressed_tokens_avg,prompt_tokens_avg,token_saving_ratio_avg,compression_time_avg,answer_time_avg,fallback_used_count,retry_used_count,error_count,api_prompt_tokens_avg,api_completion_tokens_avg,api_total_tokens_avg,nq_style_em_avg,nq_style_f1_avg
1,original,20,20,20,0,0.8,0.42372301989949046,3019.7,3019.7,3059.85,0.0,0.0,3.4552557945251463,0,1,0,3048.05,264.7,3312.75,0.2,0.4237230198994905
1,truncate,20,20,20,0,0.9,0.49981206293706293,3019.7,1500.0,1540.15,0.5027473655268011,0.0019374728202819248,2.623198318481445,0,1,0,1545.1,184.7,1729.8,0.2,0.49981206293706293
1,bm25,20,20,20,0,0.7,0.39602980352980355,3019.7,1513.5,1553.1,0.4982790256389137,0.01096906661987301,2.5423949718475343,0,0,0,1559.05,192.8,1751.85,0.2,0.39602980352980355
1,llmlingua,20,20,20,0,0.7,0.5105561105561105,3019.7,1428.15,1468.4,0.5266191013784315,1.962095284461975,3.2903807759284973,0,1,0,1467.1,259.7,1726.8,0.3,0.5105561105561105
1,longllmlingua,20,20,20,0,0.75,0.5038766788766789,3019.7,1428.15,1468.4,0.5266191013784315,1.0903304457664489,2.4665539026260377,0,0,0,1467.1,188.05,1655.15,0.3,0.5038766788766789
1,ours_full,20,20,20,0,0.6,0.43129731379731384,3019.7,1500.0,1540.15,0.5027473655268011,0.01117933988571162,2.406683886051178,0,1,0,1545.8,192.3,1738.1,0.15,0.43129731379731384
5,original,20,20,20,0,0.8,0.5208591892974885,3019.7,3019.7,3059.85,0.0,0.0,2.7072944164276125,0,0,0,3048.05,216.25,3264.3,0.3,0.5208591892974885
5,truncate,20,20,20,0,0.9,0.5574540419013035,3019.7,1500.0,1540.15,0.5027473655268011,0.0018541216850280252,2.6016081094741823,0,0,0,1545.1,200.9,1746.0,0.25,0.5574540419013035
5,bm25,20,20,20,0,0.7,0.44949911199911197,3019.7,1513.55,1553.15,0.4982626750829948,0.01044138669967647,2.560871958732605,0,0,0,1559.1,201.85,1760.95,0.2,0.44949911199911197
5,llmlingua,20,20,20,0,0.75,0.5343059146735618,3019.7,1426.2,1466.45,0.5272623687766584,1.094342088699341,4.38782229423523,0,2,0,1464.6,361.95,1826.55,0.3,0.5343059146735618
5,longllmlingua,20,20,20,0,0.75,0.4997770620184413,3019.7,1426.2,1466.45,0.5272623687766584,1.102537703514099,2.7076459646224977,0,1,0,1464.6,215.95,1680.55,0.25,0.4997770620184413
5,ours_full,20,20,20,0,0.65,0.49300366300366305,3019.7,1500.0,1540.15,0.5027473655268011,0.011174345016479445,2.471463680267334,0,1,0,1545.8,195.8,1741.6,0.2,0.49300366300366305
10,original,20,20,20,0,0.75,0.49484798534798535,3019.7,3019.7,3059.85,0.0,5.0580501556395e-05,3.0891642332077027,0,0,0,3048.05,233.1,3281.15,0.35,0.49484798534798535
10,truncate,20,20,20,0,0.7,0.4869559607059607,3019.7,1500.0,1540.2,0.5027473655268011,0.0028464198112487403,2.8230997562408446,0,0,0,1544.95,214.5,1759.45,0.2,0.4869559607059607
10,bm25,20,20,20,0,0.7,0.4736738098502804,3019.7,1513.55,1553.15,0.4982626750829948,0.011963558197021436,2.8979126095771788,0,1,0,1559.1,218.3,1777.4,0.25,0.4736738098502804
10,llmlingua,20,20,20,0,0.7,0.4444163978768992,3019.7,1427.8,1468.05,0.5267538342811834,1.1865712523460388,2.7595858812332152,0,1,0,1465.4,200.75,1666.15,0.2,0.44441639787689924
10,longllmlingua,20,20,20,0,0.75,0.4614855406031877,3019.7,1427.8,1468.05,0.5267538342811834,1.1628012180328369,2.914005625247955,0,1,0,1465.4,238.9,1704.3,0.2,0.4614855406031877
10,ours_full,20,20,20,0,0.65,0.41859626441669784,3019.7,1500.0,1540.15,0.5027473655268011,0.011370730400085394,2.492497909069061,0,2,0,1545.8,206.9,1752.7,0.2,0.41859626441669784
15,original,20,20,20,0,0.65,0.46513690350997505,3019.7,3019.7,3059.85,0.0,0.0,3.0832412481307983,0,1,0,3048.05,224.8,3272.85,0.25,0.46513690350997505
15,truncate,20,20,20,0,0.25,0.2361086136086136,3019.7,1500.0,1540.25,0.5027473655268011,0.00296717882156367,2.704678976535797,0,0,0,1544.5,186.9,1731.4,0.05,0.2361086136086136
15,bm25,20,20,20,0,0.5,0.4720238095238095,3019.7,1513.55,1553.15,0.4982626750829948,0.011274993419647165,2.947798264026642,0,1,0,1559.1,197.45,1756.55,0.3,0.4720238095238095
15,llmlingua,20,20,20,0,0.7,0.4893782051282051,3019.7,1427.25,1467.5,0.5269242598636306,1.1931924939155578,3.1555248618125917,0,1,0,1464.3,227.55,1691.85,0.3,0.4893782051282051
15,longllmlingua,20,20,20,0,0.75,0.5016366590398849,3019.7,1427.25,1467.5,0.5269242598636306,1.214208173751831,2.8078281044960023,0,0,0,1464.3,217.3,1681.6,0.25,0.5016366590398849
15,ours_full,20,20,20,0,0.65,0.4934615384615385,3019.7,1500.0,1540.15,0.5027473655268011,0.011492443084716749,2.6735496878623963,0,0,0,1545.8,236.15,1781.95,0.2,0.4934615384615385
20,original,20,20,20,0,0.75,0.44466207768839344,3020.4,3020.4,3059.85,0.0,4.9221515655515e-05,2.5278273105621336,0,0,0,3048.05,184.85,3232.9,0.15,0.44466207768839344
20,truncate,20,20,20,0,0.2,0.189496891996892,3020.4,1500.0,1540.25,0.5028627999760258,0.00316129922866816,2.5041065335273744,0,1,0,1544.5,193.95,1738.45,0.0,0.18949689199689201
